,index,order,subject,threshold,day,lp_duration,lp_met,ipi,past_he_duration,rew_dummy,gcamp_lp,gcamp_lp_per_sec,gcamp_lp_mod,gcamp_lp_mod_per_sec,gcamp_zscore,gcamp_mod_zscore,gcamp_lp_per_sec_zscore,gcamp_lp_mod_per_sec_zscore
42,42,43,3201,1600,2,1115.62879999727,0,462.9248000010848,0.0,1.0,22392531,20071668.10327485,14649527.7,13131184.58400845,0.0970234062079943,-0.1928995838881154,1.0,0.8093659851084162
43,43,44,3201,1600,2,1262.0480000004172,0,2009.945600003004,0.0,0.0,25075252,19868699.130295925,16586511.4,13142536.100048902,0.2456283883435421,-0.0758007404918461,1.0,0.8129902796758394
44,44,45,3201,1600,2,2159.212800003588,1,360.3839999958873,0.0,0.0,43140447,19979710.66118555,28390873.6,13148714.93905224,1.2463205886320503,0.6378227973059373,1.0,0.8149630498814211
45,45,46,3201,1600,2,643.526399999857,0,16108.966399997473,1060.7871999964118,1.0,12835787,19946014.64680059,8454447.5,13137685.57125532,-0.4323569398637751,-0.5674183401208747,1.0,0.8114416103092926
46,46,47,3201,1600,2,1552.7744000032544,0,278.527999997139,0.0,0.0,30978591,19950477.673984755,20253022.8,13043119.979281956,0.5726342852053785,0.1458553551372683,1.0,0.7812488536737148
47,47,48,3201,1600,2,2630.073600001633,1,409.5231999978423,0.0,0.0,52123810,19818384.55013869,34251691.9,13023092.547668146,1.7439394234390024,0.9921340102943008,1.0,0.7748545261373124
48,48,49,3201,1600,2,1249.7855999991298,0,368.6400000005961,0.0,1.0,24882632,19909520.480966754,16451413.1,13163388.264364269,0.2349585156065154,-0.0839680031666958,1.0,0.8196479265996407
49,49,50,3201,1600,2,426.5280000045896,0,1122.1503999978304,0.0,0.0,8867683,20790388.907421272,5831600.5,13672257.155303404,-0.6521636301726055,-0.7259805159953411,1.0,0.982118802770644
50,50,51,3201,1600,2,1835.4367999956007,1,1912.806400001049,0.0,0.0,36715207,20003525.591340438,24199209.0,13184441.436533252,0.8904048316761064,0.384418973326889,1.0,0.826369751001524
51,51,52,3201,1600,2,3809.619199998677,1,19152.345600001518,2412.569600008428,1.0,42901408,11261337.616110004,42892583.0,11259021.111615276,1.2330794106173784,1.5145123626382655,-0.0,0.211624513560203
52,52,53,3201,1600,2,492.012800000608,0,61.388800002634525,0.0,1.0,5761738,11710544.928897947,5761440.0,11709939.253598444,-0.8242124199047446,-0.7302220144664454,-0.0,0.3555929638111117
53,53,54,3201,1600,2,1839.5456000044944,1,860.1471999958158,0.0,0.0,20753341,11281775.78199165,20751383.0,11280711.388698002,0.0062231326548486,0.1759833335062826,-0.0,0.2185497518382173
54,54,55,3201,1600,2,213.38239999860525,0,127.01439999789,0.0,1.0,2710206,12701169.356131127,2710206.0,12701169.356131127,-0.9932470896844392,-0.9146819933146784,-0.0,0.6720713850962922
55,55,56,3201,1600,2,709.152000002563,0,159.7440000027418,0.0,0.0,8147785,11489476.163037758,8145473.0,11486215.93109878,-0.6920412132046899,-0.5860971532616052,-0.0,0.2841629257922305
56,56,57,3201,1600,2,811.526399999857,0,430.00319999456406,0.0,0.0,9271076,11424244.4854556,9269715.0,11422567.398918426,-0.6298183286825866,-0.518131977355629,-0.0,0.2638413204151448
57,57,58,3201,1600,2,74.25919999927282,0,364971.8400000036,51026.35519999266,0.0,1044054,14059591.269636944,1044054.0,14059591.269636944,-1.0855408795325476,-1.0154079168845984,0.0,1.105786242551742
58,58,59,3201,1600,2,4772.140800006688,1,16.38399999588728,0.0,0.0,51048836,10697261.06990147,51048836.0,10697261.06990147,1.684392980828616,2.0075922954984917,-0.0,0.0322666321879309
59,59,60,3201,1600,2,3932.486400000751,1,31411.366399995983,2580.2496000006795,1.0,39992485,10169770.707914555,39972066.0,10164578.318692308,1.0719443352783162,1.3379547783802557,-0.0,-0.1378074966321867
60,60,61,3201,1600,2,4321.747200004756,1,41450.27839999646,6188.710399992764,1.0,43623905,10094043.677508948,43615193.0,10092027.826142168,1.2731009610424828,1.5581971882909431,-0.0,-0.1609713062128925
61,61,62,3201,1600,2,1327.5456000044942,0,667.5455999970436,0.0,1.0,13529474,10191344.086375788,13529474.0,10191344.086375788,-0.3939312726987357,-0.2606115593743891,-0.0,-0.1292617635281274
62,62,63,3201,1600,2,4927.788800001144,1,782.374399997294,0.0,0.0,50006204,10147797.73028998,50003627.0,10147274.77768292,1.6266380708942805,1.9444049981519151,-0.0,-0.1433321445694335
63,63,64,3201,1600,2,1319.4175999984143,0,1941.427199997008,0.0,1.0,13544561,10265560.350275967,13544561.0,10265560.350275967,-0.3930955527839629,-0.2596994865209523,-0.0,-0.1055661090349885
64,64,65,3201,1600,2,1917.4335999935863,1,671.6544000059366,0.0,0.0,19522218,10181431.054543585,19522218.0,10181431.054543585,-0.0619729307530353,0.1016751192228195,-0.0,-0.1324267810718743
65,65,66,3201,1600,2,8331.539200000465,1,25562.419200003147,4730.649599991739,1.0,84589328,10152905.23988596,84516231.0,10144131.71098028,3.5423141789246846,4.030837636172285,-0.0,-0.1443356580679681
66,66,67,3201,1600,2,541.139200001955,0,69.59359999746084,0.0,1.0,5656849,10453593.086546978,5652805.0,10446119.963180596,-0.8300225760749969,-0.7367894589175028,-0.0,-0.0479173137714932
67,67,68,3201,1600,2,811.5520000010729,0,2158.438400000334,0.0,0.0,8435533,10394322.236885434,8435297.0,10394031.436049506,-0.6761018790735821,-0.5685760687070576,-0.0,-0.06454805853136
68,68,69,3201,1600,2,98.74560000002384,0,380.88960000127554,0.0,0.0,1147258,11618320.2086951,1147258.0,11618320.2086951,-1.0798240612065582,-1.009168799315427,-0.0,0.326340976188278
69,69,70,3201,1600,2,225.7727999985218,0,122.85440000146627,0.0,0.0,2489863,11028179.656789046,2489863.0,11028179.656789046,-1.0054526330781404,-0.9280026580422464,-0.0,0.137921809209403
70,70,71,3201,1600,2,7307.62879999727,1,60545.35679999739,6627.302399992943,0.0,73561594,10066410.871886032,73550308.0,10064866.458464269,2.9314507257122284,3.367901288245068,-0.0,-0.1696433458742031
71,71,72,3201,1600,2,6942.969599999487,1,41921.2928000018,4194.367999993265,1.0,70036397,10087383.502299244,70036397.0,10087383.502299244,2.736178150886413,3.155470531136772,-0.0,-0.1624541387802148
72,72,73,3201,1600,2,119.32800000160933,0,69.67040000110865,0.0,1.0,1392580,11670186.376887392,1392580.0,11670186.376887392,-1.0662348465892135,-0.9943380485663836,-0.0,0.3429007265284538
73,73,74,3201,1600,2,1171.7823999971151,0,139.2639999985695,0.0,0.0,11987380,10230039.297423748,11987380.0,10230039.297423748,-0.4793530706871718,-0.3538376530210865,-0.0,-0.1169072161102622
74,74,75,3201,1600,2,3121.542399995029,1,35019.89120000601,2816.652800001204,0.0,31481193,10085140.28194848,31481193.0,10085140.28194848,0.6004751084707463,0.8246456536185911,-0.0,-0.1631703507207026
75,75,76,3201,1600,2,2822.444800004363,1,37469.17119999975,3211.148799985647,1.0,28471100,10087389.485865582,28471100.0,10087389.485865582,0.4337358849393625,0.6426728219343564,-0.0,-0.1624522283563652
76,147,1,3201,1600,4,569.7727999985218,0,,1757.055999994278,0.0,17408934,30554168.25802349,11077987.7,19442815.978629973,-0.4406415809300745,-0.4255573621655654,1.0,1.0712358286930084
77,148,2,3201,1600,4,139.75680000334978,0,3678.118400000036,204.73599998652932,0.0,4436223,31742448.30944662,2905347.7,20788596.332560297,-0.6749886686225837,-0.6416069381099638,2.0,1.5965082808432889
78,149,3,3201,1600,4,619.01439999789,0,401.3823999986053,0.0,0.0,18614742,30071581.533585407,11985595.8,19362386.07702964,-0.4188591182577519,-0.4015640937567402,1.0,1.0398431786840896
79,150,4,3201,1600,4,188.88320000469685,0,10321.561599999666,3534.719999998808,0.0,5945035,31474662.64788064,3841965.1,20340427.840615064,-0.647732553992765,-0.6168467881349075,1.0,1.4215833296407736
80,151,5,3201,1600,4,672.2752000018954,0,16268.889599993823,0.0,0.0,20475230,30456619.55095513,13049099.7,19410354.122780684,-0.3852501105116562,-0.3734496085218328,1.0,1.0585656194917026
81,152,6,3201,1600,4,438.73919999599457,0,249.7664000019431,0.0,0.0,13285728,30281606.93213939,8585779.3,19569209.45308371,-0.515125728311164,-0.4914406713514671,1.0,1.120568552319278
82,153,7,3201,1600,4,2838.9695999994874,1,1679.308800004423,0.0,0.0,83761258,29504105.29229165,53718234.9,18921736.5694968,0.7579879029942785,0.7016680295957651,1.0,0.8678529674400255
83,154,8,3201,1600,4,2077.100800000131,1,393.25439999997616,0.0,1.0,61364741,29543458.36273142,39357269.1,18948174.830994006,0.3534033459648518,0.322025640937754,1.0,0.8781721034020499
84,155,9,3201,1600,4,2941.331200003624,1,54303.167999997735,4554.4191999956965,1.0,88378456,30047094.322424863,58348952.5,19837600.233502477,0.8413958278759535,0.8240843569756892,1.0,1.2253243417416513
85,156,10,3201,1600,4,2003.424000002444,1,19639.74399999529,344.012800000608,1.0,59900213,29898919.549694397,39840495.8,19886202.72091749,0.3269472049435853,0.3348000839108949,1.0,1.2442944119098849
86,157,11,3201,1600,4,213.36960000544784,0,31947.87839999795,9117.401600010691,1.0,6650612,31169444.943563625,4213224.5,19746133.00063564,-0.6349865739818931,-0.6070322807131475,1.0,1.189623703402677
87,158,12,3201,1600,4,1572.998400002718,0,217.4335999935865,0.0,0.0,43753356,27815257.790423945,27800104.6,17673320.328839473,0.0352603776229578,0.0165037423413819,1.0,0.3805827690609375
88,159,13,3201,1600,4,1188.294399999082,0,20209.126400001347,651.2767999991775,0.0,33460458,28158390.71531924,21120890.7,17774122.894138284,-0.1506769079772572,-0.1600660479267483,1.0,0.4199270873985541
89,160,14,3201,1600,4,147.7311999946833,0,4112.396800003946,0.0,0.0,4299424,29103019.539235678,2866372.4000000004,19402620.43565042,-0.6774598905012833,-0.6426372780046986,1.0,1.055547078768312
90,161,15,3201,1600,4,258.5152000039816,0,1921.0623999983072,0.0,0.0,7664592,29648515.83149444,4762587.4,18422852.505100854,-0.6166694111330135,-0.5925094800533136,1.0,0.6731331864009839
91,162,16,3201,1600,4,1356.179200001061,0,462.8863999992609,0.0,0.0,37587356,27715626.371478483,23926092.6,17642279.574838843,-0.0761260660210894,-0.0859085320036902,0.0,0.3684672310960039
92,163,17,3201,1600,4,2441.567999996245,1,2912.204800002277,0.0,0.0,67472006,27634702.781206083,43013949.6,17617346.557649083,0.4637287641844045,0.4186926018450191,0.0,0.3587356080711011
93,164,18,3201,1600,4,811.526399999857,0,286.6432000026107,0.0,1.0,22979734,28316680.76356364,14551928.0,17931552.19596376,-0.3400071987938017,-0.3337212689727714,1.0,0.4813734260738586
